feature,mutual_information
Race__Year__Compound_Cumulative_Degradation_mean,0.1734560031897645
Race__Year__Compound_TyreLife_mean,0.17245808067665735
Race__Year__Compound_LapTime_Delta_mean,0.17094565777564275
Race__Year__Compound_LapTime (s)_mean,0.17031105510250866
Race__Year__Compound_Position_mean,0.16969725177959805
Race__Year__Compound_LapNumber_mean,0.16849842890250555
Year_Stint_hash,0.16563517061245214
Race__Year__Compound_count,0.1528328100122931
Compound_Year_hash,0.12893520279326198
Race__Year_TyreLife_mean,0.10552463039418125
Race__Stint_count,0.10548950749911468
Race__Stint_LapTime (s)_mean,0.10524836903510115
Race__Year_LapTime_Delta_mean,0.10310156925071112
Race__Stint_LapTime_Delta_mean,0.10304656169981175
tyre_x_progress,0.10296611720720739
Race_Stint_hash,0.10287280646034924
Race__Stint_Cumulative_Degradation_mean,0.10267264461391767
Race__Stint_LapNumber_mean,0.10225084896988346
Race__Stint_Position_mean,0.1020344420620316
Race__Year_LapTime (s)_mean,0.10185568397194178
Race__Stint_TyreLife_mean,0.10176368447317041
Race_Year_hash,0.10170705793678736
Race__Year_Cumulative_Degradation_mean,0.10146374872068131
Race__Year_LapNumber_mean,0.10070933249534075
Race__Year_count,0.09901329319405283
Stint__Compound_count,0.09057197324024635
Stint__Compound_Cumulative_Degradation_mean,0.09003634432472896
Stint__Compound_TyreLife_mean,0.08955811631323751
Stint__Compound_LapTime (s)_mean,0.08937451424135912
Stint__Compound_LapTime_Delta_mean,0.08860734427048689
Stint__Compound_LapNumber_mean,0.08844621012301102
Driver_Stint_hash,0.08730999448153676
Compound_Stint_hash,0.08660421902502113
Stint__Compound_Position_mean,0.08644563120282323
Stint__Compound_LapTime_Delta_z,0.07971711386216684
stint_x_tyre,0.07903208753317381
Stint_freq,0.07742897651225689
Stint_PitStop_hash,0.07608285558274797
Year_freq,0.07514773189368928
Driver_Year_hash,0.07391378959244
Race__Compound_LapTime_Delta_mean,0.07336987357301417
Year,0.07327279546151577
Race__Compound_Cumulative_Degradation_mean,0.07318975041711617
stint_lap_gap,0.07287321665959912
Race__Compound_Position_mean,0.07271892054751405
Race_Compound_hash,0.0726948619297676
Race__Compound_LapTime (s)_mean,0.07241503790247328
Race__Compound_TyreLife_mean,0.07241448789271177
