pair,groups,min,max,std
Year|Stint,25,0.0,0.5693580341315908,0.2143516110495948
Race|Stint,123,0.0,0.7560165975103734,0.18096455432340403
Compound|Year,18,0.0,0.538540672988796,0.17792219999615821
Race|Year,100,0.0,0.7602465844718427,0.16471206944342487
Race|Compound,87,0.008426966292134831,0.6931324993617565,0.1536545062043773
Driver|Stint,1915,0.0,0.7755102040816326,0.14447056916348971
PitStop|Stint,14,0.0,0.40044145779173,0.14344442344700584
Stint|Position,116,0.0,0.4550553281794755,0.13981979901881558
Driver|Year,1889,0.0,0.6205787781350482,0.1346137590005435
Compound|Stint,29,0.0,0.447699404644561,0.1343357055049675
Year|PitStop,8,0.004154302670623145,0.3042356126493762,0.12460106073182033
Year|Position,80,0.005753862546616942,0.34921074494599835,0.1207426874322492
Driver|Compound,1767,0.0,0.6842105263157895,0.11409540413611544
Compound|PitStop,10,0.013888888888888888,0.34099281923197,0.11154392769955895
Driver|Race,8246,0.0,0.9090909090909091,0.10994161375732504
Compound|Position,97,0.0,0.37476255088195387,0.10914300308804338
Race|Position,519,0.030303030303030304,0.4708960104643558,0.09148476957222505
Driver|PitStop,1034,0.0,0.6114649681528662,0.08985433337013345
Race|PitStop,52,0.08458494254517714,0.3978890936505277,0.08309244929038778
Driver|Position,6736,0.0,0.7560975609756098,0.08007121097272403
PitStop|Position,40,0.13337468982630274,0.3001370488807675,0.0444681983323668
