feature,value,count,mean,lift_abs
TyreLife,61.0,43,0.9069767441860465,0.7079946428060765
TyreLife,56.0,84,0.8690476190476191,0.6700655176676491
TyreLife,59.0,44,0.8409090909090909,0.641926989529121
TyreLife,65.0,49,0.8367346938775511,0.6377525924975811
TyreLife,63.0,52,0.8269230769230769,0.6279409755431069
TyreLife,64.0,65,0.8153846153846154,0.6164025140046454
TyreLife,60.0,65,0.8153846153846154,0.6164025140046454
TyreLife,66.0,58,0.8103448275862069,0.6113627262062369
TyreLife,57.0,54,0.7962962962962963,0.5973141949163263
TyreLife,58.0,42,0.7380952380952381,0.5391131367152682
RaceProgress,0.6753246753246753,179,0.6312849162011173,0.4323028148211473
RaceProgress,0.7631578947368421,216,0.6157407407407407,0.41675863936077073
RaceProgress,0.5974025974025974,360,0.6138888888888889,0.41490678750891896
RaceProgress,0.6493506493506493,417,0.6115107913669064,0.4125286899869365
RaceProgress,0.7922077922077922,63,0.6031746031746031,0.4041925017946332
RaceProgress,0.7051282051282052,234,0.5982905982905983,0.3993084969106283
RaceProgress,0.5584415584415584,265,0.5962264150943396,0.39724431371436963
RaceProgress,0.7402597402597403,92,0.5869565217391305,0.3879744203591605
RaceProgress,0.4666666666666667,41,0.5853658536585366,0.3863837522785666
RaceProgress,0.5324675324675324,260,0.5846153846153846,0.3856332832354147
Driver,VET,359,0.5654596100278552,0.3664775086478852
Driver,MSC,355,0.4732394366197183,0.2742573352397484
Driver,HAD,435,0.46206896551724136,0.26308686413727145
Driver,STR,1275,0.42745098039215684,0.2284688790121869
Driver,ANT,417,0.41007194244604317,0.21108984106607323
Driver,LAT,401,0.40399002493765584,0.2050079235576859
Driver,BEA,555,0.4,0.20101789862003008
Driver,D439,26,0.0,0.19898210137996994
Stint,7.0,116,0.0,0.19898210137996994
Driver,D433,32,0.0,0.19898210137996994
Driver,D436,26,0.0,0.19898210137996994
Position_Change,16.0,94,0.39361702127659576,0.19463491989662582
Stint,2.0,129536,0.3911036314229249,0.19212153004295499
Position_Change,14.0,625,0.3888,0.18981789862003004
Race,Chinese Grand Prix,7311,0.38859253180139514,0.1896104304214252
Year,2023.0,136147,0.00960726273806988,0.18937483864190005
LapNumber,36.0,6809,0.38713467469525625,0.18815257331528631
LapNumber,50.0,4792,0.3829298831385643,0.18394778175859436
LapNumber,38.0,6334,0.38111777707609723,0.1821356756961273
Stint,6.0,728,0.019230769230769232,0.1797513321492007
Stint,8.0,50,0.02,0.17898210137996995
LapNumber,56.0,3222,0.3755431409062694,0.17656103952629945
LapNumber,41.0,5467,0.374611304188769,0.17562920280879904
Compound,WET,1355,0.025092250922509225,0.17388985045746072
LapNumber,46.0,4318,0.37123668364983786,0.17225458226986792
LapNumber,54.0,3003,0.3706293706293706,0.17164726924940069
LapNumber,44.0,6703,0.3705803371624646,0.17159823578249464
LapNumber,75.0,35,0.02857142857142857,0.17041067280854136
Position_Change,13.0,968,0.3646694214876033,0.16568732010763335
LapNumber,39.0,5929,0.36144375105414067,0.16246164967417073
Race,Monaco Grand Prix,21539,0.3573982079019453,0.15841610652197538
Stint,5.0,4281,0.053024994160242936,0.145957107219727
Position_Change,0.0,137668,0.057486126042362785,0.14149597533760716
Stint,1.0,216288,0.05981839029442225,0.1391637110855477
Position_Change,6.0,11202,0.32806641671130155,0.1290843153313316
Compound,HARD,170518,0.3275372687927374,0.12855516741276748
Position_Change,10.0,2827,0.3226034665723382,0.12362136519236824
Race,Spanish Grand Prix,20483,0.3199726602548455,0.12099055887487556
Position_Change,5.0,14410,0.31672449687716864,0.1177423954971987
Position_Change,3.0,20697,0.3152147654249408,0.11623266404497087
Position_Change,11.0,1948,0.3105749486652977,0.11159284728532778
Position_Change,9.0,4186,0.3105590062111801,0.11157690483121016
Race,Mexico City Grand Prix,23672,0.09065562690098006,0.10832647447898988
Compound,MEDIUM,211141,0.10113147138641951,0.09785062999355043
Year,2024.0,127110,0.2953190150263551,0.09633691364638516
Race,Miami Grand Prix,18860,0.1035524920466596,0.09542960933331034
Stint,3.0,69238,0.29310494237268553,0.09412284099271559
Race,Bahrain Grand Prix,19535,0.2875351932428974,0.08855309186292745
Year,2025.0,92894,0.2843886580403471,0.08540655666037714
Race,United States Grand Prix,18045,0.11404821280133001,0.08493388857863993
Race,Belgian Grand Prix,9002,0.2803821373028216,0.08140003592285164
Race,Emilia Romagna Grand Prix,15483,0.27255699799780403,0.07357489661783409
Year,2022.0,82989,0.266505199484269,0.06752309810429905
Race,Italian Grand Prix,19854,0.13196333232597965,0.06701876905399029
PitStop,1.0,59775,0.2478293601003764,0.04884725872040646
Compound,INTERMEDIATE,17382,0.15228397192497986,0.04669812945499008
Position,20.0,5808,0.1540977961432507,0.04488430523671924
Position,1.0,23841,0.15930539826349566,0.03967670311647428
Position,13.0,24850,0.2351307847082495,0.03614868332827956
Position,14.0,23824,0.22989422431161854,0.030912122931648606
Position,19.0,10615,0.1689119170984456,0.03007018428152433
Stint,4.0,18903,0.17166587314182935,0.02731622823814059
Position,15.0,23905,0.2198703200167329,0.020888218636762962
Position,4.0,25267,0.17853326473265524,0.0204488366473147
Position,16.0,21769,0.21337682024897792,0.014394718869007977
Position,18.0,15869,0.18879576532862816,0.010186336051341782
Position,2.0,21427,0.18994726279927196,0.00903483858069798
PitStop,0.0,379365,0.1912854375074137,0.007696663872556242
Compound,SOFT,38744,0.1934751187280611,0.005506982651908826
