keys,signal,coverage,auc,exact
Year|Race|Driver|Stint,pit_shift_3,0.41183677187229584,0.5901398016287462,0.7883486126931115
Year|Race|Driver|Stint,pit_shift_2,0.55493236780981,0.5827962754001814,0.7703011576040346
Year|Race|Driver|Stint,pit_shift_1,0.7413877123468597,0.5670768076049151,0.7540490151210327
Race|Year|Position,pit_shift_2,0.9909664343944984,0.5541500647872053,0.7527098418330181
Race|Year|Position,pit_shift_3,0.9865760349774559,0.5528863988884778,0.7515447379658161
Race|Year|Position,pit_shift_1,0.9954365350457712,0.5519111850215269,0.7516768236887376
Year|Race|Driver,pit_shift_1,0.9069340073780571,0.5510211015654302,0.7459468552819563
Year|Race|Driver,pit_shift_2,0.8230678143644395,0.5503815847573188,0.7408242539605248
Race|Year|Position,physical_lap_plus_1_pit,0.9903634206385316,0.5503581648940513,0.8138603686448246
Race|Year|Position,pit_shift_-3,0.9865760349774559,0.5496878422624509,0.7521540929497167
Race|Year|Position,pit_shift_-2,0.9909664343944984,0.5494709734402664,0.7515080209479909
Year|Race|Driver,pit_shift_3,0.7446941749783668,0.5464996966602848,0.7334362816298449
Race|Year|Position,pit_shift_-1,0.9954365350457712,0.5457476371749315,0.748721221770799
Year|Race|Driver,pit_shift_-1,0.9069340073780571,0.5429372903192107,0.7519929896979695
Year|Race|Driver,pit_shift_-2,0.8230678143644395,0.5363864823750968,0.7540767260030655
Year|Race|Driver,physical_lap_plus_1_pit,0.2897709158810402,0.535480193225781,0.8094774066797642
Year|Race|Driver|Stint,pit_shift_-1,0.7413877123468597,0.5341954988211821,0.7760932264039094
Year|Race|Driver,pit_shift_-3,0.7446941749783668,0.5308962285421993,0.757428331167342
Year|Race|Driver|Stint,pit_shift_-2,0.55493236780981,0.5307839581970005,0.8018695653958053
Year|Race|Driver|Stint,physical_lap_plus_1_pit,0.20742132349592385,0.526669092377251,0.8551604509973981
Year|Race|Driver|Stint,pit_shift_-3,0.41183677187229584,0.5233783184707184,0.8232220465126566
Race|Driver,pit_shift_3,0.9062144190918614,0.5174294057667335,0.7185410410724831
Race|Driver,pit_shift_2,0.9350844833082844,0.5170093025116014,0.7212157814885798
Race|Driver,pit_shift_1,0.9659744045179214,0.5146332885143483,0.7233225993521893
Race|Driver,pit_shift_-2,0.9350844833082844,0.5118707915766921,0.7251974390757684
Race|Driver,physical_lap_plus_1_pit,0.7150025711779356,0.5114422940172092,0.7735505372907011
Race|Driver,pit_shift_-3,0.9062144190918614,0.5107099192279551,0.7253357791710118
Race|Driver,pit_shift_-1,0.9659744045179214,0.5100249359335199,0.7240085997576603
