feature,op,threshold,auc,positive_rate
Stint,<=,1.0,0.7150152184567686,0.4925263014072961
LapNumber,<=,19.0,0.6664405316022699,0.5096370178075329
RaceProgress,<=,0.2763157894736842,0.6525372898044528,0.5102632417907729
TyreLife,<=,13.0,0.6459478587903444,0.543457667258733
Year,<=,2023.0,0.6441496077127895,0.4990117046955413
LapTime_Delta,<=,-1.0799999999999983,0.6170168685187217,0.4400396228993032
Cumulative_Degradation,<=,-22.629999999999995,0.6080875182683367,0.47002322721683293
Position_Change,<=,1.0,0.5866108990343559,0.7301065719360569
LapTime (s),<=,83.889,0.5466140426232823,0.310028692444323
PitStop,<=,0.0,0.5208578987310994,0.8638816778248395
Position,<=,7.0,0.5162430696785567,0.38428063943161633
